"COL0","COL1","COL2"
"4620861.00",1720.00,355.00
"4620862.00",1775.00,285.00
"4620863.01",955.00,130.00
"4620863.02",1480.00,275.00
"4620864.00",1520.00,235.00
"4620865.00",430.00,115.00
"4620866.00",710.00,215.00
"4620867.00",1565.00,410.00
"4620868.01",1635.00,305.00
"4620868.02",1620.00,450.00
"4620869.00",865.00,155.00
"4620870.01",995.00,310.00
"4620870.02",635.00,130.00
"4620871.01",1020.00,250.00
"4620871.02",590.00,105.00
"4620872.00",1625.00,460.00
"4620873.01",1110.00,380.00
"4620873.02",1110.00,355.00
"4620874.00",1305.00,355.00
"4620875.00",1135.00,295.00
"4620876.01",1030.00,310.00
"4620876.04",2330.00,295.00
"4620876.05",2530.00,390.00
"4620876.06",1600.00,350.00
"4620876.07",545.00,80.00
"4620877.01",2460.00,310.00
"4620877.02",1640.00,315.00
"4620878.00",1200.00,345.00
"4620879.01",795.00,200.00
"4620879.02",975.00,205.00
"4620880.00",975.00,230.00
"4620881.01",880.00,215.00
"4620881.02",925.00,220.00
"4620882.00",690.00,175.00
"4620883.00",620.00,100.00
"4620884.01",890.00,120.00
"4620884.02",1715.00,345.00
"4620885.00",830.00,175.00
"4620886.01",880.00,165.00
"4620886.02",910.00,140.00
"4620886.03",765.00,170.00
"4620887.03",1150.00,130.00
"4620887.04",1545.00,285.00
"4620887.05",1490.00,210.00
"4620887.06",1385.00,205.00
"4620887.07",,
"4620888.01",945.00,150.00
"4620888.02",1690.00,160.00
"4620888.03",1405.00,110.00
